半	2670
连	2663
泉	2652
池	2624
乡	2613
共	2543
九	2537
影	2531
岂	2521
近	2516
小	2510
翠	2508
期	2506
须	2505
曲	2479
因	2479
断	2457
庭	2453
惊	2448
照	2434
两	2430
经	2429
吹	2408
溪	2407
乐	2403
双	2399
遥	2368
残	2348
动	2342
正	2331
晓	2326
曾	2313
忆	2299
寻	2297
对	2285
物	2271
垂	2263
舟	2262
苦	2241
却	2239
静	2238
悲	2235
鹤	2204
居	2201
木	2194
笑	2183
沙	2180
先	2180
楚	2175
才	2166
紫	2156
峰	2154
夕	2136
鸣	2131
星	2122
凤	2120
者	2115
依	2092
又	2085
和	2084
苍	2082
久	2079
语	2073
常	2072
泪	2071
只	2067
怜	2063
车	2059
忽	2059
唯	2058
浮	2052
鱼	2047
以	2039
登	2039
通	2030
景	2028
至	2027
官	2024
恩	2013
二	2012
宿	1999
传	1992
早	1986
且	1986
数	1985
雁	1978
听	1971
转	1964
合	1961
女	1958
堪	1952
爱	1947
陵	1931
散	1929
怀	1928
真	1927
虚	1911
寂	1904
送	1900
绝	1898
灵	1891
丹	1885
使	1878
园	1877
病	1868
恨	1864
川	1860
萧	1857
堂	1848
帝	1847
主	1847
疏	1844
舞	1842
吾	1838
寄	1816
秦	1815
穷	1808
州	1798
火	1781
节	1773
窗	1772
昔	1770
太	1764
其	1762
觉	1760
足	1745
兴	1744
悠	1742
乱	1732
皆	1730
死	1726
手	1725
暗	1710
兮	1709
始	1705
亲	1701
霞	1695
待	1693
容	1692
迟	1692
带	1692
僧	1682
田	1679
阁	1674
罗	1673
往	1673
休	1671
凉	1669
珠	1668
兰	1647
会	1644
信	1642
晴	1642
于	1641
画	1640
剑	1632
湖	1623
虽	1613
燕	1607
尚	1606
首	1603
胜	1600
桃	1599
逐	1596
隔	1595
征	1592
度	1592
辞	1587
圣	1583
洞	1579
识	1578
隐	1575
功	1574
直	1569
斜	1567
移	1555
群	1555
绕	1550
士	1541
含	1539
岸	1538
夫	1535
亭	1534
步	1522
愿	1520
徒	1513
余	1513
欢	1513
谢	1510
伤	1506
杯	1504
贤	1503
儿	1502
丝	1493
胡	1490
浪	1486
令	1480
倚	1480
争	1477
颜	1476
军	1469
羽	1468
结	1467
琴	1465
学	1458
寺	1458
皇	1452
馀	1442
师	1438
拂	1438
卧	1437
疑	1435
荒	1425
朱	1424
郎	1424
解	1423
立	1421
尔	1420
桂	1419
贵	1416
殿	1412
镜	1411
眼	1410
忧	1409
横	1406
化	1393
锦	1389
交	1386
用	1386
吴	1385
飘	1379
翻	1379
啼	1373
塞	1371
便	1366
乘	1366
迹	1364
薄	1360
食	1359
骑	1351
命	1348
药	1342
钟	1342
定	1335
异	1324
岩	1324
德	1320
易	1317
栖	1314
惜	1313
兵	1312
卷	1309
臣	1309
映	1309
灯	1306
喜	1305
苔	1305
劳	1303
忘	1300
力	1298
说	1292
求	1288
谷	1280
洛	1277
音	1272
弦	1271
猿	1271
饮	1258
杨	1257
船	1253
著	1253
及	1250
径	1244
念	1243
本	1242
遗	1239
荣	1235
斗	1230
教	1229
六	1228
素	1210
冷	1208
暖	1208
由	1207
阙	1206
湘	1206
稀	1205
细	1203
感	1202
折	1197
迎	1196
惟	1192
摇	1191
他	1190
干	1188
魂	1182
条	1181
衰	1180
偏	1179
都	1177
侯	1177
口	1176
贫	1176
即	1174
低	1170
玄	1167
轩	1164
顾	1157
极	1156
桥	1154
章	1152
住	1151
梁	1150
面	1147
彩	1139
引	1138
渐	1135
眠	1132
但	1131
息	1130
报	1129
鬓	1127
良	1126
掩	1121
八	1121
蓬	1120
鼓	1110
取	1108
战	1107
论	1106
怅	1101
越	1097
目	1096
变	1095
莲	1095
宁	1094
缘	1094
美	1094
骨	1092
元	1091
想	1091
纷	1091
频	1088
片	1087
接	1086
邻	1085
禅	1084
武	1083
持	1082
帘	1082
倾	1080
暂	1078
悬	1074
宜	1072
破	1071
叹	1064
鸡	1061
载	1060
守	1055
傍	1053
凝	1052
礼	1050
洲	1043
帆	1043
齐	1043
迷	1041
户	1040
冰	1038
李	1036
莺	1036
枕	1035
罢	1032
宝	1031
佳	1026
土	1023
京	1022
钓	1022
村	1019
虎	1019
盘	1017
伴	1013
泥	1012
许	1008
俗	1008
御	1007
必	1006
眉	1004
采	1002
永	998
失	997
昏	997
沉	996
井	994
沧	993
任	992
鸿	980
梅	972
岭	972
郡	971
